18||#2	QTV kiểm tra hộ mình..số đơn hàng 4653663 hoàn thành chưa ạ...e có thể tới shop lấy hàng được chưa
18||#5284	Tôi đã đặt hàng ngày 23/7 thời gian nào mới nhận được hàng vây?
18||#5286	cho mình hỏi, hiện tại FPT đang kinh doanh phiên bản 3G hay 4G??? Và có những màu nào mà shop đang kinh doanh???
18||#5354	Check led thông báo hộ nhé ad. Trong cài đặt có mục Navigation light. K biết bản FPT có không?
18||#5376	Chào bạn. hiện đã có san phẩm ở huyện đông hưng tỉnh thái bình chưa? và có những màu gì.và giá mỗi màu như nào hả bạn
18||#5380	Cho chính sát ngày về đi qtv
18||#5384	Nokia6 da co video mo hop roi phai lo?
18||#5390	cho mình hỏi cái này có hổ trợ trả góp chưa ạ? sản phẩm này của TQuoc hay nước nào ạ?
18||#5450	Chắc 2018-nokiA MỚI về
18||#5452	Sao kg ban n6 ram4 room64
18||#5462	cho mình xin link fanpage của fptshop đi ạ ?
18||#5498	nghe nói có các biến thể của nokia 6 ở bản quốc tế trong đó có VN có. thể cho mình pk các biến thể của dòng này khác nhau như thế nào và cách nhận biết chính xác nhất của từng biến thể,
18||#5506	chao sop minh dat coc ngay 6/6 den nai gan het thang vay co mat coc kh va trenh giay noi la co hieu luc mot thang
18||#5507	qtv benh minh co nhap mai ve kh sao thay trenh tinh tuc chi ban o my kh thay ban o vn
18||#5513	cho mình biết thông tin về hàng của em nó đi, bạn đoán thôi cũng được, mình ở Quy Nhơn, chuẩn bị sim số các thứ cho em nó rồi :')
18||#5515	Mà nghe cũng lâu lâu rồi à , có biết bao lâu nữa sẽ về ko shop , trong vòng 1 tuần nữa thì ngon .
18||#5522	Thấy bảo là tháng 10 hàng về tất cả các kiểu lu
18||#5525	CÓ hàng chưa add? Sản phẩm này có trả góp k?
18||#5526	Nghe nói quốc khánh no6 mới về, để kỷ niệm ngày này
18||#5527	Vẫn chưa có kế hoạch về hàng hả các bạn?
18||#5528	Nghe noi tet moi ve
18||#5529	Nghe noi trong thag 7 hag moi ve
18||#5549	Nói chung, hàng về hết rùi ! Chỉ là chờ ngày đẹp lên kệ thôi ! :))
18||#5576	Dự kiến 22/06 có hàng, tức là thứ năm phải ko QTV ?
18||#5579	Mai ha
18||#5604	Nếu con nàu chạy nap 625 ok hơn mới ăn dc mấy con khác cùng phân khúc 5m5 nếu ko mua mấy con khác ok hơn
18||#5610	QTV oi biet trung tam bao hanh cua nokia o dau khi mua nokia 6
18||#5611	Ban chung nao co hag ha ban
18||#5613	sao ko co xac nhanh nhi
18||#5665	Cho hòi sao bên TGDĐ bán = giá mà là bản ram 4gb rom 64gb vậy
18||#5675	Xin hỏi fpt có bán bản Nokia 6 đen bóng ram 4gb, rom 64gb không? Nếu có thì giá như thế nào vậy fpt?
18||#5678	FPT
18||#5687	Dat hang Khong may Nagy moi co vay ban
18||#5699	Nokia 6 nay la cua thi truong trung quốc hay quốc tế
18||#5721	theo dự đoán thì 22/6 hàng về sẽ cháy hàng cho mà xem
18||#5740	mình đang quan tâm
18||#5754	em muon mua noki 5 o dâu
18||#5760	Nokia 66 co ban sim kép ko ban
18||#5776	Thấy có thông tin là 20/6 lên kệ trên FPT shop đúng ko vậy QTV. http://tinnhanhchungkhoan.vn/cuoc-song/bo-doi-android-nokia-gia-re-ve-viet-nam-dau-thang-6-188119.html
18||#5782	Cho mình hỏi nhé xin bạn giải thích rõ ràng hơn là chưa có hàng đã báo giá là sao đây có phải là giá chuẩn k
18||#5799	Về hàng đi
18||#5808	Mk đang dùng máy nè.. đang đợi bản quốc tế nè chứ k có ch play trong máy đâu à
18||#5818	mua ở âu z ạ
18||#5821	các anh liệu có root máy đk k
18||#5860	Bên mình bán nokia 6 bản nào vậy bạn . Giá bn. Mấy sim
18||#5861	sao fpt shop ko kinh doanh xiaomi nhỉ
18||#5880	chao fptshop nokia6 bao jo thi ve vn vay ? $ khoang bao nhieu ban?
18||#5882	khoảng bao lâu nữa thì có hàng vậy ad và giá bao nhiêu vậy?
18||#5889	Khi nào mới công bố giá nhỉ
18||#5895	Các sp cua microsoft thu hoi het dui sao qtv
18||#5897	Co hang slo minh nhe
18||#5912	Chào anh c
18||#5928	Mình muốn mua đt j3 pro kèm gói cước của vietnamobile.không biết thủ tục giấy tờ mang theo khi mua máy như thế nào vậy ad?
18||#5929	Neu minh co sim mobifone roi mua may dang ky goi cuoc sim cu dc ko hay phai mua sim moi voi goi fpt 299 vay shop
18||#5930	Goi mobifone fpt299 nhu the nao shop
18||#5933	gói cước FPT288 mua kèm với đt tổng giá là bao nhiêu v ạ
18||#5943	E mới mua j3 pro cùng gói cước fpt288 nhưng mạng quá yếu thì e phải làm sao???
18||#5948	Dạ bắt buộc nạp 288k/tháng v có tháng không nạp thì sao ạ ? Tới thu điện thoại mình hả ad?
18||#5955	Sim phai dùng của nhà mạng nào đấy ak
18||#5962	chào bạn. cho mình hỏi neu mua J3 Pro duoc giảm giá chi còn 2490 k, áp dụng tới 15/12, là bắt buộc phải dùng sim của PFT trong 12 tháng với gói cước nạp 288k/ tháng. Máy bán có được hàng chính hãng của samsung đóng dấu nguyên đai, nguyên kiện không bạn.
18||#5963	E muốn mua trả góp và vẫn tham gia gói cước f288 có đ k ạ
18||#5965	Mua j3 co khuyen mai.minh khog nap the thi ben fpt co khoa may minh khog vay
18||#5966	Cho hỏi máy có 4g không? Và gói fpt288 dung lượng là 3g hay 4g? Cảm ơn.
18||#5970	Đt bị khóa nge gọi thôi hay sau. Có lên mạng bằng wifi được ko khi không xử dụng gói cước fpt288
18||#5973	Mõi tháng được 1500 phút gọi nội mạng 100 phút gọi ngoại mạng 8gb data hay chỉ trong 12 tháng được bao nhiêu đó ad
18||#5978	Khi mình xài không đủ 12 tháng thì sao hả shop
18||#5986	Trợ giá là sao mình ko hiểu lắm. Bấm mua ngay thì giá có giảm. Bấm mua trả góp thì giá rất cao
18||#5990	mua cước rồi mỗi tháng nạp bnhiêu ad và nạp hoài luôn à ?
18||#5991	nếu mua j3 pro thì mua gói cước rùi bỏ dc k ad
18||#6018	samsung galaxy J3 Pro có bao nhiêu loại vậy shop
18||#6020	em sinh 27.12.1997 ạ.
18||#6022	Dùng mã giảm giá này được không QTV ơi: http://bit.ly/khuyenmai-fpt
18||#6038	Toi mua cái vivo 53 cũ
18||#6042	tại sao các nơi khác bán j3 pro rẻ hơn vài trăm ạ
18||#6081	Ở di linh lâm đồng có trung tâm bao hành sam sung k ạ
18||#6088	j3 pro giá 4490000 đ có máy màu ạ
18||#6099	Tim tai video nhac hinh
18||#6116	Coi xnxx ko dc
18||#6122	Ad ơi cho hỏi mua trả gop trả trước 0% qua đt thì bao lâu mới lấy máy đc ạ
18||#6127	tối qua em có mua j3 pro , trong hóa đơn có ghi là tặng 100k khi mua giày biti;s hunter là sao vậy ,
18||#6138	Sao máy không đọc được văn bản trên violet vậy ạ.
18||#6164	Ad cho mk hỏi. Mk mua nhiều sp ở shop ( không cùng lúc) mà mình lại dùng 2 sdt. Giờ mk muốn chuyển sang 1 số đt cố định để tiện cho bảo hành. Thế có được không ad. Nếu được thì phải làm như thế nào.
18||#6166	MÌNH
18||#6168	Cho mk hỏi. Nếu mk mua máy+ combo dán+ kính cường lực+ thẻ nhớ cùng lúc. Thì mình có được giảm giá khi mua nhiều k.
18||#6169	Dạ cho mình hỏi
18||#6173	Ad ơi. Cho mk hỏi. Nếu mk đặt mua thì mk được tăng PMH phụ kiện 200k cộng vs 200k khi mua thẻ nhớ 32g. Thì mk chỉ cần trả 90k để mua thẻ nhớ 32g nữa đúng không vậy
18||#6204	Mình mua đt j3 pro trả góp. Nhưng mình cần hóa đơn để gửi đt qua bưu điện. Z ra ngoài shop có thể cho mình hóa đơn đx khôg?
18||#6205	Fpt mình o dau vay
18||#6212	Tặng PMH Phụ Kiện 200,000đ mua Thẻ nhớ 32GB có nghĩa là nếu tôi không mua thẻ nhớ 32 g thì ko được áp dụng khuyến mãi này hay sao ạ?
18||#6215	Mai là ngày quốc khánh shop mình có mở bán ko ạ
18||#6219	mua online là mình đặt trên mạng rồi tới shop gần nhất lấy hàng phải không ạ? có được xem máy không?
18||#6237	Chào shop cho em hỏi máy này còn màu xanh dương ở đồng nai nhơn trạch kh shop thẻ nhớ 16g giống trong máy là bao nhiêu shop .v máy chơi đk game nặng kh như liên quân kiếm thế ỷ thiên đk kh ạ
18||#6241	ủa sao bình luận của mình mất tiêu rồi?
18||#6248	À chào máy này quay phim chụp hình trong bóng tối tốt kh shop khi mua có khuyến mãi cho j kh shop Máy sài tốt và ok đúng kh kh có vấn đề j đk kh Khi mua shop làm ơn chỉ cho tui một vài thao tác chụp hình thú vị nha và cách bật nút số người theo dõi mình tui trên fb nha có đk kh thẻ nhớ 16g là bao nhiêu mdmh chóng trầy xước bảo vệ máy luôn đẹp và mới là bao nhiêu hết thảy
18||#6250	Hi cảm ơn nha shop khi mua shop có thể hd em cách chụp ảnh thú vị nhất đk kh ạ máy chụp đẹp kh dễ kh Với shop chỉ em cách bật nút có bao nhiêu người theo dõi trên fb em nha shop
18||#6251	Máy này khi mua về dễ sài kh shop có khó khăn j kh ạ Khi mua đk tặng thẻ nhớ 16g kh ạ pin sài đk 1 ngày kh shop ơi khi xem phim chơi game nặng màn hình tốt kh khuyến mãi j khi mua còn màu xanh dương ở đồng nai kh giá bao nhiêu. V
18||#6253	Cho em hỏi ạ máy nàg mua gop có đk tặng j kh ạ Tháng góp nhiêu bao nhiêu tháng hết ạ cần những j ạ Sài ok chứ hả máy mượt mà đk kh pin sài đk bao lâu trâu kh
18||#6255	Có màu xanh dương kh shop pin ít vậy sài tốt kh đáp ứng tốt kh có chế độ tiết kiệm pin kh
18||#6273	Cho hỏi là tôi ra đến shop, sau đó đặt online thì có nhận được pmh luôn ko hay là phải đợi lâu
18||#6274	E muốn mua con j3 fro e nên ra cua hàng nào mua vậy ạ
18||#6280	Xin chào ad. Mk mới mua con f3 đợt tháng 9. Bộ nhớ trong là 32gb. Tại sao mk có tải j đâu mà mất hơn 20gb bộ nhớ. Báo đầy là ntn??? Vả lại. Ghi là 32gb. Nhưng sao chỉ còn có 23,37
18||#6286	Mình mua a57 bên fpt và bị vỡ màn hình. Bên fpt có thay màn hình không và thay thì mất bao nhiêu vậy?
18||#6292	Nếu mua máy ở fpt shop nhưng hết thời hạn bảo hành thì có hỗ trợ thu lại ko ạ ?
18||#6307	E muốn đăng kí mạng vina 50k thì làm sao ạ
18||#6308	E muốn đăng kí dữ liệu mang 50k thì đăng kí làm sao ạ
18||#6328	Hôm qua e mua máy và nạp thêm 20k vào sim sao bây h kiểm tra lại chưa có ạ sim e cũng làm ở shop luôn
18||#6332	chồng mình hiện tại không có nhà dùng cmnd của chồng mình có được không
18||#6336	Home credit là sao ạ
18||#6354	shop oi mua dien thoai truc tiep co can chung minh nhan dan hk shop
18||#6364	giờ mà đi dán lại miếng dán màn hình thì có cần đem theo giấy tờ gì để dán lại k?
18||#6373	Cho hỏi mua trả góp địa điểm hà nội ở đâu thì gần nhật.cu thể mình ở giáp bát hà nội
18||#6375	Ban nhu the nao mua lam sao
18||#6399	mình đã mua trả góp mà muốn kiểm tra số nợ cần phải đóng thì kiểm tra sao
18||#6401	E ở huyện hà trung- thanh hóa. Thì mua điện thoại oppo f3 litte ở shop nào gần nhất vậy QTV
18||#6416	Sao mình mua máy tai FPT thủ đức Nokia5 khi trả cứu bảo hành thì máy báo sản phẩm không phải của fpt
18||#6428	T mới mua nokia 5 đc 15 ngày.những ngày đầu sạc nhanh vào nhưng đến hnay sạc 6 tiếng mới đầy.đây là lỗi của máy hay do nhà sản xuất ạ.
18||#6436	Nokia 5gia bao nhieu và có vân tay bảo mat không và mua ở đâu em muốn biết thông tintren
18||#6442	Là quay luôn tại đó hay sao. Mình đọc ko ghi rõ lắm
18||#6443	Quay trúng thưởng phải trả góp mới đc hay sao bạn. Mua trả 1lần hết có đc ko
18||#6446	Mua máy rồi.nhung làm sao biết được trưng thẻ mua hàng hoặc điện thoại
18||#6482	Nokia 5 gia bao nhieu sau khi chon goi khuyen mai 1
18||#6485	Cho minh hoi o bình long hoac hon quan co diem nao ban tra go nokia 5 ko ạ
18||#6490	Vũ Tứ Mình mới mua nokia5 được hơn tháng, nói chung sử dụng tốt số với mức giá. Vừa qua do sơ xuất để rơi xuống nước, mình đã gửi máy đi công ty thấy màn hình mất 800k. Khi nhận máy về sử dụng mình thấy trên màn hình có 1 lỗ sáng trắng như cái kim khí bật màn hình sáng. Cho mình hỏi có ảnh hưởng gì không.
18||#6562	M ở lục ngạn Bắc Giang
18||#6568	Cho mình hỏi trong tầm giá dưới 5 triệu thì máy nào có camera chính cho ảnh nét, độ chi tiết tốt nhất vậy !?
18||#6569	Cho mình hỏi trong tầm giá 4,5tr trở xuống thì máy nào có camera sau cho ảnh nét, độ chi tiết cao nhất vậy ?
18||#6577	M hỏi no 5 mà
18||#6579	Vậy phải cắt àk
18||#6586	mình ở Hà Nam muốn mua nokia 5 thì đến shop pt nào
18||#6591	Ad ơ cho e hỏi..nokia 5 nâng cấp lân android O là s z ad
18||#6614	Ad oi.e moi mua no 5.gio no bi loi ve pin.sac no nhá nhá luc vo luc khong.gio e dem ra bao hang khoang nhieu ngay e moi co may ạ??
18||#6616	Các ngày lễ FPT có làm việc ko
18||#6619	Ad cho mình hỏi máy có bộ nhớ trong mà chỉ cài một hai ứng dụng vào khỏang 3gb mà máy đã đầy bộ nhớ vậy
18||#6620	Fpt còn dt nào hỗ trợ java ko gửi danh sách cho e cái
18||#6629	Máy mình bị rơi vỡ màn hình, shop có hỗ trợ thay không
18||#6631	Shop cho hỏi nokia 5 nút nguồn nó hơi lõng là máy nó vậy hay là bị lỗi ạ
18||#6645	Hi /em bị mất khai sim nokia 5 mua lại ở đâu vậy
18||#6650	Qtv mua trả góp lãi suất 0% co dk km j k.o bắc quang hg có màu xanh dương k
18||#6657	Hình như nokia 5 màn hình hiển thị màu hơi ngã vàng chứ ko phải sáng trắng phải ko ad?
18||#6668	Nguyễn Kim đang áp dụng chính sách giảm thêm 10% khi thanh toán bằng Master card. Bên mình có không ad?
18||#6684	Ở tỉnh long an mua sao
18||#6690	(định hóa- thái nguyên) có miễn ship không? có kèm theo phụ kiện gì không?
18||#6705	Sao mặt sau của máy lại ghi Mode in China vậy qtv
18||#6707	Có miếng dán thường cho nokia 5 k ạ.. Và giá bn vậy ạ. E tìm trên shop mà k thấy
18||#6708	tôi mua nokia 6 ra đăng ký gói 4g cty viển thông tra lời máy này ko co hổ trợ 4g vậy có đúng không ?
18||#6716	nokia 5 tổng ứng dụng của t là tầm 8.64gb trong khi rom là 16gb. mà giờ đã báo là full mà k có rác hay cache thì có cách nào k ad t nhớ khả dụng là tầm 12gb
18||#6719	Sao máy của e màn hình nó hơi ám vàng nhỉ ?!
18||#6728	Ad cho e hỏi e muốn mua trả góp máy Nokia 5 nhưng không muốn người thân biết vậy e nên chọn ngân hàng nào để vai mà không phait khai sdt người thân ạ
18||#6730	Ad cho hỏi sao nokia 5 màu sắc hiển thị hơi ngã vàng so với những dòng máy khác vậy?
18||#6735	minh muon may tea too Nokia 5
18||#6739	Máy trả góp bên mình có thử mua k ạ
18||#6740	Tp hưng yên, tỉnh hưng yên ạ. Ktra k thấy màu nào có luôn @@
18||#6741	E ktra hàng ở Fpt shop tp. Hưng k có 1 cái nào luôn ạ @@
18||#6745	ad cho hoi
18||#6754	Cho hoi nhung loi thuong gap tren meizu m3 max
18||#6759	fptshop tại bạc liêu còn hợp tác với công ty tài chính ACs không qtv?
18||#6761	Máy mình 2.990.000 tru 25% phí thì còn bao nhiêu tiền ah. Muốn đổi Nokia 5 thì bu bao nhiêu. Trà Vinh có ốp lưng nhựa cua Nokia 3 chưa vậy.
18||#6762	Có thể dán lại màn hình miễn phí ở tất cả fpt shop phải không
18||#6771	Sao k lưu ứng dụng,nhạc,phim sang thẻ nhớ vậy qtv. Vào hướng dẫn có trong đt cũng k có phần lưu trữ
18||#6778	em mua máy tại cửa hàng nhưng mua tấm dáng cường lực ở ngoài rồi nhờ nhân viên dán dùm khi mua máy được không QTV?
